Index,features_set,feature_name,Type,Short_Description
0,EDIT,num-authors,Int,The number of editors
1,EDIT,num-authors-normalized,Int,The number of editors normalized by the number of revisions
2,EDIT,num-revisions,Int,The number of revisions
3,EDIT,num-revisions-normalized,Int,The number of revisions normalized by time-to-promotion
4,EDIT,time-to-promotion,Float,The time (in days) it took for the article to be promoted
5,EDIT,used-to-be-good-article,Bool,Whether or not the article was first promoted to GA before FA (relevant only to FA articles)
6,EDIT,reverts-perc,Float,The proportion of edits that have been reverted
7,NETWORK,connected-components,Int,The number of connected components in the network
8,NETWORK,connected-components>2,Int,"The number of connected components in the network, wihtout singeltons"
9,NETWORK,strongly-connected-components,Int,The number of strongly connected components in the network (strongly connected:  every node is reachable from every other node)
10,NETWORK,strongly-connected-components>1,Int,The number of strongly connected components in the network without singeltons (strongly connected:  every node is reachable from every other node)
11,NETWORK,connected-components-max,Int,The maximum size of the connected component
12,NETWORK,strongly-connected-components-max,Int,The maximum size of the strongly connected component
13,NETWORK,betw-avg,Float,Betweenness average over all nodes
14,NETWORK,betw-median,Float,Betweenness median over all nodes
15,NETWORK,betw-stdev,Float,Betweenness std over all nodes
16,NETWORK,closeness-avg,Float,Closeness average over all nodes
17,NETWORK,closeness-median,Float,Closeness median over all nodes
18,NETWORK,closeness-stdev,Float,Closeness std over all nodes
19,NETWORK,centrality-avg,Float,Centrality average over all nodes
20,NETWORK,centrality-median,Float,Centrality median over all nodes
21,NETWORK,centrality-stdev,Float,Centrality std over all nodes
22,NETWORK,out-deg-avg,Float,Out degree average over all nodes
23,NETWORK,out-deg-median,Float,Out degree median over all nodes
24,NETWORK,out-deg-stdev,Float,Out degree std over all nodes
25,NETWORK,in-deg-avg,Float,In degree average over all nodes
26,NETWORK,in-deg-median,Float,In degree median over all nodes
27,NETWORK,in-deg-stdev,Float,In degree std over all nodes
28,NETWORK,num-of-edges,Int,The number of edges in the network (|E|)
29,NETWORK,num-of-nodes,Int,The number of nodes in the network (|V|)
30,NETWORK,num-of-triangles,Float,The number of triades between nodes in the network
31,NETWORK,is-biconnected,Bool,"Whether the network is bi-connected or not (bi-connected=if any one vertex were to be removed, the graph will remain connected)"
32,NETWORK,num-of-nodes-to-cut,Int,The number of nodes it is required to take off (from the largest components) to break up the graph into two parts
33,NETWORK,density,Float,The density of the network
34,COMPOSITION,author-gini,Float,The gini-index inequality among editors
35,COMPOSITION,ip-based-users-revision-perc,Float,The precentage of revisions done by anonymous users (IP-Based)
36,COMPOSITION,users-overlap-div-by-editors,Float,"Overlap size between discussers (|D|) and editors (|V|), divided by editors size (|V|)"
37,COMPOSITION,users-overlap-div-by-talkers,Float,"Overlap size between discussers (|D|) and editors (|V|), divided by discussers size (|D|)"
38,COMPOSITION,distributions-diff,Float,"The avergae different between contribution in discussions and edits, over all users"
39,DISCUSSIONS,num-comments,Int,The number of comments in the Talk page
40,DISCUSSIONS,num-authors,Int,The number of discussers taking part in discussions on the Talk page
41,DISCUSSIONS,gini-measure,Float,The gini-index inequality among discussers
42,DISCUSSIONS,avg-authors,Float,The avergae number of discussers per discussion
43,DISCUSSIONS,median-authors,Float,The median number of discussers per discussion
44,DISCUSSIONS,sentiment-mean,Float,The avergae sentiment score over all comments over all discussions
45,DISCUSSIONS,neg-sentiment-perc,Float,"The proportion of negative comments, defined by the threshold of the model"
46,DISCUSSIONS,pos-sentiment-perc,Float,"The proportion of positive comments, defined by the threshold of the model"
47,DISCUSSIONS,user-agg-sentiment-mean,Float,"The average sentiment, aggregated per discusser to overcome those that bias the simple metric"
48,DISCUSSIONS,user-agg-sentiment-median,Float,"The median sentiment, aggregated per discusser to overcome those that bias the simple metric"
49,DISCUSSIONS,formality-mean,Float,The avergae formality score over all comments
50,DISCUSSIONS,high-formality-perc,Float,"The proportion of high score formality comments, defined by the threshold of the model"
51,DISCUSSIONS,user-agg-formality-mean,Float,"The average formality, aggregated per discusser to overcome those that bias the simple metric"
52,DISCUSSIONS,user-agg-formality-median,Float,"The median formality, aggregated per discusser to overcome those that bias the simple metric"
53,DISCUSSIONS,politeness-mean,Float,The avergae politeness score over all comments
54,DISCUSSIONS,low-politeness-perc,Float,"The proportion of low score politeness comments, defined by the threshold of the model"
55,DISCUSSIONS,user-agg-politeness-mean,Float,"The average politeness, aggregated per discusser to overcome those that bias the simple metric"
56,DISCUSSIONS,user-agg-politeness-median,Float,"The median politeness, aggregated per discusser to overcome those that bias the simple metric"
57,DISCUSSIONS,toxicity-mean,Float,The avergae toxicity score over all comments
58,DISCUSSIONS,toxic-perc,Float,"The proportion of toxic comments, defined by the threshold of the model"
59,DISCUSSIONS,user-agg-toxicity-mean,Float,"The average toxicity, aggregated per discusser to overcome those that bias the simple metric"
60,DISCUSSIONS,user-agg-toxicity-median,Float,"The median toxicity, aggregated per discusser to overcome those that bias the simple metric"
61,DISCUSSIONS,certainty-mean,Float,The avergae certainty score over all comments
62,DISCUSSIONS,high-certainty-perc,Float,"The proportion of high score certainty comments, defined by the threshold of the model"
63,DISCUSSIONS,user-agg-certainty-mean,Float,"The average certainty, aggregated per discusser to overcome those that bias the simple metric"
64,DISCUSSIONS,user-agg-certainty-median,Float,"The median certainty, aggregated per discusser to overcome those that bias the simple metric"
65,DISCUSSIONS,num-discussions,Int,The number of discussion threads over all talk pages of the article
66,DISCUSSIONS,mixed-authors-comments,Float,The proportion of comments that have two or more discssers assigned with. It captures disagreement as usually only a single Wikipedian wirtes a comment
67,DISCUSSIONS,direct-user-interactions-cnt,Int,"The number of interaction between pair of discussers occred  , taking into account only  direct interactions "
68,DISCUSSIONS,indirect-user-interactions-cnt,Int,"The number of interaction between pair of discussers occred , taking into account also indirect interactions (replied in the same discussion thread, but not directly)"
69,DISCUSSIONS,avg-triangles-direct-interactions,Float,"The number of triades between discussers , taking into account only  direct interactions "
70,DISCUSSIONS,avg-triangles-indirect-interactions,Float,"The number of triades between discussers , taking into account also indirect interactions (replied in the same discussion thread, but not directly)"
71,DISCUSSIONS,avg-depth,Float,"The average depth of a discussion, over all threads"
72,DISCUSSIONS,depth-zero-comments-avg,Float,The average number of replies a level zero commnet recieves
73,DISCUSSIONS,lvl-zero-unreplied-comments-perc,Float,The proportion of level-zero comments that are unreplied
74,DISCUSSIONS,lvl-zero-reply-in-seconds,Float,The avergae time (seconds) it takes to a level-zeor comment to be replied
