page_name,page_id,type
Template talk:FApages,3946816,former_featured_articles
User:Lourdes/TFAhistorylink,55979832,former_featured_articles
Ancient Greek art,42869687,former_featured_articles
André Kertész,360345,former_featured_articles
Art competitions at the Summer Olympics,5517248,former_featured_articles
Article 153 of the Constitution of Malaysia,3133969,former_featured_articles
Baroque,3957,former_featured_articles
Buddhist art,5517266,former_featured_articles
Magdeburg Cathedral,1018787,former_featured_articles
Campbell's Soup Cans,7536709,former_featured_articles
Chicago Board of Trade Building,9620733,former_featured_articles
Salvador Dalí,40112,former_featured_articles
Deconstructivism,5517287,former_featured_articles
Diego Velázquez,77423,former_featured_articles
El Lissitzky,5517284,former_featured_articles
Fancy cancel,384639,former_featured_articles
"Geology Hall, New Brunswick, New Jersey",40648855,former_featured_articles
Graffiti,11985,former_featured_articles
Henry Moore,5517329,former_featured_articles
History of erotic depictions,6598994,former_featured_articles
IG Farben Building,6616683,former_featured_articles
"Parliament House, Dublin",219859,former_featured_articles
Paul Kane,5517299,former_featured_articles
Leonardo da Vinci,18079,former_featured_articles
Michigan State Capitol,5517265,former_featured_articles
Oxyrhynchus,5517197,former_featured_articles
Palace of Westminster,24170,former_featured_articles
Parthenon,23672,former_featured_articles
Francis Petre,1593678,former_featured_articles
Pierre Rossier,7011007,former_featured_articles
Point Park Civic Center,5257745,former_featured_articles
Prince's Palace of Monaco,9951797,former_featured_articles
Radhanite,1490915,former_featured_articles
Rembrandt,4254144,former_featured_articles
Restoration of the Sistine Chapel frescoes,8983620,former_featured_articles
Robert Lawson (architect),5517326,former_featured_articles
Roman Vishniac,1442763,former_featured_articles
Rova of Antananarivo,15167657,former_featured_articles
Scottish Parliament Building,1003265,former_featured_articles
St. Michael's Golden-Domed Monastery,3649431,former_featured_articles
Sanssouci,5144767,former_featured_articles
Shotgun house,2433249,former_featured_articles
Sylvanus Morley,5517335,former_featured_articles
Tech Tower,8550588,former_featured_articles
Templon,762968,former_featured_articles
Xanadu Houses,1597853,former_featured_articles
Action potential,156998,former_featured_articles
Albatross,5012175,former_featured_articles
Antarctic krill,43269,former_featured_articles
Aquarium,19230351,former_featured_articles
Bioinformatics,4214,former_featured_articles
Brolga,94882,former_featured_articles
Cat,6678,former_featured_articles
Cell nucleus,6235,former_featured_articles
Chemical synapse,27809,former_featured_articles
Chromatophore,190770,former_featured_articles
Cladistics,5376,former_featured_articles
Cochineal,18952719,former_featured_articles
Coconut crab,23229753,former_featured_articles
Cyclura nubila,12504289,former_featured_articles
DNA repair,854294,former_featured_articles
Fauna of Australia,49860,former_featured_articles
Fauna of Puerto Rico,6419809,former_featured_articles
Fin whale,230361,former_featured_articles
Green and golden bell frog,2721791,former_featured_articles
Guinea pig,62696,former_featured_articles
Hawksbill sea turtle,19973790,former_featured_articles
Homo floresiensis,1108628,former_featured_articles
Human,682482,former_featured_articles
Introduction to evolution,19852895,former_featured_articles
Island fox,379793,former_featured_articles
Kākāpō,89074,former_featured_articles
Komodo dragon,17360,former_featured_articles
Krill,231145,former_featured_articles
Marginated tortoise,1095085,former_featured_articles
Marine shrimp farming,2167405,former_featured_articles
Mitochondrial Eve,89792,former_featured_articles
Mongrel,518441,former_featured_articles
Myxobolus cerebralis,1849824,former_featured_articles
Olm,658095,former_featured_articles
Proteasome,24603,former_featured_articles
Race (human categorization),25614,former_featured_articles
Seabird,147019,former_featured_articles
Sei whale,377441,former_featured_articles
Sperm whale,313530,former_featured_articles
G. Ledyard Stebbins,1591079,former_featured_articles
Tetraodontidae,23576,former_featured_articles
United States Navy Marine Mammal Program,2764345,former_featured_articles
Whale vocalization,682987,former_featured_articles
2 euro commemorative coins,3509054,former_featured_articles
Bank of China (Hong Kong),1145762,former_featured_articles
Billboard,246415,former_featured_articles
Celtic Tiger,42677,former_featured_articles
Cracker Barrel,47818563,former_featured_articles
Demand Note,2040106,former_featured_articles
Dime (United States coin),374688,former_featured_articles
Economics,9223,former_featured_articles
Economy of Africa,1055517,former_featured_articles
Economy of India,1472206,former_featured_articles
Economy of the Iroquois,1424188,former_featured_articles
Economy of the Republic of Ireland,18933019,former_featured_articles
Edgar Speyer,19321381,former_featured_articles
Euro,9472,former_featured_articles
FairTax,534060,former_featured_articles
Finn M. W. Caspersen,40956814,former_featured_articles
Gold standard,37412,former_featured_articles
Harold Innis,177907,former_featured_articles
Labour economics,18178,former_featured_articles
Madman Muntz,553588,former_featured_articles
Mercantilism,19708,former_featured_articles
Microsoft,19001,former_featured_articles
New Orleans Mint,1936139,former_featured_articles
Octopus card,267624,former_featured_articles
Odwalla,915266,former_featured_articles
Panavision,1667697,former_featured_articles
Panic of 1907,735925,former_featured_articles
Strategic management,239450,former_featured_articles
Supply and demand,29664,former_featured_articles
Tulip mania,203464,former_featured_articles
Alchemy,573,former_featured_articles
Aldol reaction,498127,former_featured_articles
Ammolite,17025724,former_featured_articles
Antioxidant,3277,former_featured_articles
Caffeine,6868,former_featured_articles
Cyclol,6884590,former_featured_articles
Damascus steel,8593,former_featured_articles
Glass,12581,former_featured_articles
Hydrochloric acid,19916686,former_featured_articles
Iridium,14752,former_featured_articles
Lead(II) nitrate,238508,former_featured_articles
Linus Pauling,37342,former_featured_articles
Lysergic acid diethylamide,9971220,former_featured_articles
Paracetamol,83406,former_featured_articles
Psilocybin,38468,former_featured_articles
Raney nickel,1706275,former_featured_articles
Sertraline,149612,former_featured_articles
Titanium,30040,former_featured_articles
Turquoise,55693,former_featured_articles
Uranium,31743,former_featured_articles
4chan,12561015,former_featured_articles
Acid2,1742984,former_featured_articles
Acorn Computers,56284,former_featured_articles
Application programming interface,65004315,former_featured_articles
Architecture of Btrieve,1320118,former_featured_articles
Architecture of Windows NT,1942523,former_featured_articles
ASCII,586,former_featured_articles
Btrieve,542386,former_featured_articles
C (programming language),6021,former_featured_articles
Central processing unit,5218,former_featured_articles
Color Graphics Adapter,474231,former_featured_articles
Commodore 64,7293,former_featured_articles
CUPS,414418,former_featured_articles
Computer security,7398,former_featured_articles
CPU cache,849181,former_featured_articles
Data Encryption Standard,7978,former_featured_articles
Delrina,1874744,former_featured_articles
Emacs,18933234,former_featured_articles
Firefox,210892,former_featured_articles
Floppy disk,10891,former_featured_articles
Folding@home,413102,former_featured_articles
GNU/Linux naming controversy,501787,former_featured_articles
History of computing hardware,13636,former_featured_articles
HTTP cookie,5068415,former_featured_articles
Java (programming language),15881,former_featured_articles
Macintosh,71924475,former_featured_articles
Markup language,18910,former_featured_articles
Microsoft Data Access Components,2263152,former_featured_articles
NeXT,21694,former_featured_articles
OpenBSD,18949571,former_featured_articles
Opera (web browser),18996620,former_featured_articles
PaX,657117,former_featured_articles
Phishing,428364,former_featured_articles
Quantum computing,25220,former_featured_articles
Reduced instruction set computer,26201,former_featured_articles
Rosetta@home,3255539,former_featured_articles
ROT13,48362,former_featured_articles
Scene7,19961487,former_featured_articles
Search engine (computing),27804,former_featured_articles
Search engine optimization,187946,former_featured_articles
Sequence alignment,149289,former_featured_articles
Spamming,28368,former_featured_articles
Storm botnet,12970258,former_featured_articles
Spyware,28951,former_featured_articles
Ubuntu (operating system),30404350,former_featured_articles
World Wide Web,33139,former_featured_articles
X Window System,34147,former_featured_articles
X Window System core protocol,3501526,former_featured_articles
Windows 2000,33941,former_featured_articles
Windows XP,33879,former_featured_articles
Assassination,2963,former_featured_articles
Azerbaijanis,698454,former_featured_articles
"Robert Baden-Powell, 1st Baron Baden-Powell",60845,former_featured_articles
Baden-Powell House,5325815,former_featured_articles
Bathing machine,270993,former_featured_articles
Belarusian Republican Youth Union,2343654,former_featured_articles
Black Seminoles,2572036,former_featured_articles
Boy Scouts of America membership controversies,2662425,former_featured_articles
British African-Caribbean people,5579773,former_featured_articles
Brownsea Island Scout camp,5891779,former_featured_articles
Removal of cannabis from Schedule I of the Controlled Substances Act,1473650,former_featured_articles
David Helvarg,1253373,former_featured_articles
Daylight saving time,47548,former_featured_articles
D. B. Cooper,8799,former_featured_articles
